timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1737722937923,5,Create New Meeting,401,,Data Load - Batch of new schedluled meetings - WORKS 1-3,,false,"Test failed: code expected to equal /

****** received  : [[[4]]]01

****** comparison: [[[2]]]01

/",330,226,6,6,http://localhost:8288/communities/1/meetings,5,0,0
1737722937924,4,Create New Meeting,401,,Data Load - Batch of new schedluled meetings - WORKS 1-5,,false,"Test failed: code expected to equal /

****** received  : [[[4]]]01

****** comparison: [[[2]]]01

/",330,226,6,6,http://localhost:8288/communities/1/meetings,4,0,0
1737722937923,4,Create New Meeting,401,,Data Load - Batch of new schedluled meetings - WORKS 1-6,,false,"Test failed: code expected to equal /

****** received  : [[[4]]]01

****** comparison: [[[2]]]01

/",330,226,6,6,http://localhost:8288/communities/1/meetings,4,0,0
1737722937923,5,Create New Meeting,401,,Data Load - Batch of new schedluled meetings - WORKS 1-1,,false,"Test failed: code expected to equal /

****** received  : [[[4]]]01

****** comparison: [[[2]]]01

/",330,226,6,6,http://localhost:8288/communities/1/meetings,5,0,0
1737722937929,0,Debug Sampler,200,OK,Data Load - Batch of new schedluled meetings - WORKS 1-3,text,true,,666,0,6,6,null,0,0,0
1737722937923,4,Create New Meeting,401,,Data Load - Batch of new schedluled meetings - WORKS 1-2,,false,"Test failed: code expected to equal /

****** received  : [[[4]]]01

****** comparison: [[[2]]]01

/",330,226,6,6,http://localhost:8288/communities/1/meetings,4,0,0
1737722937929,0,Debug Sampler,200,OK,Data Load - Batch of new schedluled meetings - WORKS 1-5,text,true,,666,0,6,6,null,0,0,0
1737722937929,0,Debug Sampler,200,OK,Data Load - Batch of new schedluled meetings - WORKS 1-6,text,true,,665,0,6,6,null,0,0,0
1737722937929,0,Debug Sampler,200,OK,Data Load - Batch of new schedluled meetings - WORKS 1-2,text,true,,666,0,6,6,null,0,0,0
1737722937929,0,Debug Sampler,200,OK,Data Load - Batch of new schedluled meetings - WORKS 1-1,text,true,,666,0,6,6,null,0,0,0
1737722937929,3,Create New Meeting,401,,Data Load - Batch of new schedluled meetings - WORKS 1-4,,false,"Test failed: code expected to equal /

****** received  : [[[4]]]01

****** comparison: [[[2]]]01

/",330,226,6,6,http://localhost:8288/communities/1/meetings,3,0,0
1737722937930,3,Create New Meeting,401,,Data Load - Batch of new schedluled meetings - WORKS 1-2,,false,"Test failed: code expected to equal /

****** received  : [[[4]]]01

****** comparison: [[[2]]]01

/",330,226,6,6,http://localhost:8288/communities/1/meetings,3,0,0
